Name,Cell Line,passage,Drug Treatment,Parent,Holiday,Fixation,Media,Conc of Drug,Treatment (days),Clonal map,AT ID (from Attachments),Results,Status,JIRA,DLP Seq Lib,Link to SV,Sample Name (from Attachments),Library ID(s) (from Attachments),JIRA (from Attachments),Sync with calendar,ATLAS ID (from Sync with calendar),Task (from Sync with calendar),Date (from Sync with calendar),End (from Sync with calendar),Link to ticket (from Sync with calendar),EXP ID (Nanopore)(from Sync with calendar),AT-Barcode (from Sync with calendar),Matched Nanopore samples,#bases (Gb) (from Matched Nanopore samples),# reads (millions) (nanostat) (from Matched Nanopore samples),N50 (nanostat) (from Matched Nanopore samples),Quality (from Matched Nanopore samples),LIBRARY (from Matched Nanopore samples)
184-hTERT-L9 (WT) -SB-124-4 µM-8d,184-hTERT-L9 (WT) ,57,SB-124,,,Fixed,DMEM+FBS,4 µM,8,A118875A_hdbscan_cell_cn_tree_heatmap_new.png (https://v5.airtableusercontent.com/v1/17/17/1686182400000/j2qcZBy9vmMsHvdEWpypCQ/VLZcXRTaoP-IjlkO95ogu3VD5r3AUqW6dr2idVx-ACezYSMg_gC167e12tU8vifcCfiuKFp-Uy-VSxJj2MYKV6Vt-7rOAFN9KPugB3WvW_WvslGR1nL6VDIMtDBBAkTZlKYvwqizkoMg03bdAgFzjg/QcXh-deBaL44rWrge-82M5KIpH9TD186ha4X4A7Wy6Q),AT16178,https://alhena.molonc.ca/alhena/dashboards/SC-7885,poor quality cells?,SC-7746 SC-7749 ,AT16178 A118875A,hTERT Wt Fixed SB-124,hTERT Wt Fixed SB-124,"A118875A, A118885A",,,,,,,,,,,,,,,
184-hTERT-L9 (WT) -Untreated--d,184-hTERT-L9 (WT) ,58,Untreated,,,Fresh,DMEM+FBS,,,A108875A_hdbscan_cell_cn_tree_heatmap_new.png (https://v5.airtableusercontent.com/v1/17/17/1686182400000/0s7VpUWarUiqAxuZTqDHGw/Zn32radba2g37abMNnY95jrN8b2MlA89k7bQceeW447drA2KMdfLe_B5Fv4Qj7NSJK3wxnNmnfx2cpacSEouYUIh7tJty4PPHcQp3Jfz8aIApS4gc7VpAQexnJtlEMiKrA5TLo-ZFsZw8bxwzGvVHw/OoeB84A1oeUOnvENSMwt4ZyN3N_q5d04C5riRQXYNP4),AT17080,https://alhena.molonc.ca/alhena/dashboards?=DLP?analysis=SC-7803,Done,SC-7683 SC-7684,AT17080 A108875A,hTERT WT Untreated,hTERT WT Untreated,"A108875A, A118841A",,,,,,,,,,,,,,,
184-hTERT-L9 (WT) -cisplatin-470 nM-5d,184-hTERT-L9 (WT) ,61,cisplatin,,,Fresh,DMEM+FBS,470 nM,5,A98308A_hdbscan_cell_cn_tree_heatmap_new.png (https://v5.airtableusercontent.com/v1/17/17/1686182400000/i7xbYA85RWH2RNzg6cK3Xg/i1qJvPeSykfMtD4ZT58x9Y1mHP6-Y-oOs9E99WkaMG5hfLJiHbaWYjU021cjX7azcowLjsJh9my5ERVpCHgt9rSqt5S93b4HZpwGlpdMgMEJ06Y2SPfnWz5-WhgXglpY-tuHwEbfyDisJK2aj7BNNQ/x2Q1ucy8KGf4OZ6OZhuiXeRP7PsyTwVNvbctm7ekSIM),AT13845 ,https://alhena.molonc.ca/alhena/dashboards/SC-7848,Done,SC-7783 SC-7784,AT13845 A98308A,hTERT Wt p61 Cisplatin,hTERT Wt p61 Cisplatin,"A98308A, A98309A",,,,,,,,,,,,,,,
HEK293-AURKBi ZM447439-10-7 M-6d,HEK293,12,AURKBi ZM447439,,,Fresh,DMEM+FBS,10-7 M,6,A110646B_hdbscan_cell_cn_tree_heatmap_new.png (https://v5.airtableusercontent.com/v1/17/17/1686182400000/uWcZWLXO9Ql97DHuEYu4xw/LvMbdSbo4AOuCeqNKLdlyk_NXL6Q9Zy1sUmrE6LtAxXeRDcgoJalkMoPE0zqycP5jebiTtncaxQibaHRzGrIu2O5TYXnbIat_Yw1PPzvkwt0SpU4aZmppoMQqf429CbEHty_qoKGBuSXVORBNvKoCw/c0KzvyxiggjzILPhkQHogBwS6SlBBZIkdl7POtxGmp0),,https://alhena.molonc.ca/alhena/dashboards?=DLP?analysis=SC-4337,Done,SC-4279 SC-4280,AT1 A110646B,,,,,,,,,,,,,,,,,,
HEK293-Untreated--d,HEK293,12,Untreated,,,Fresh,DMEM+FBS,,,A110616A_hdbscan_cell_cn_tree_heatmap_new.png (https://v5.airtableusercontent.com/v1/17/17/1686182400000/UL_irHuabtxRTBaMxYsU1A/O63D_W0DdpLAKlzAHgd0-LfhtORKA_sbCMXcK78BZVStCcFt8jwJBTIRJob7oCoDBE2k74EIynmOfyMTsqTWrrd9DzxmX7tvOK9JK7gfatdvc0TJ-E2R0q4L4RaHHdEI0fCG4xCgCtu6B1Y2XbVCQg/alDwQ4ZMxPittxU_DTC40iVe_bMF825GqWIoFo5ck_E),,https://alhena.molonc.ca/alhena/dashboards?=DLP?analysis=SC-4334,Done,SC-4277 SC-4278,AT3 A110616A,,,,,,,,,,,,,,,,,,
HEK293-voreloxin-50 nM-6d,HEK293,12,voreloxin,,,Fresh,DMEM+FBS,50 nM,6,A118825A_hdbscan_cell_cn_tree_heatmap_new.png (https://v5.airtableusercontent.com/v1/17/17/1686182400000/Ur8Isudh9uJhwdeqQU-TDg/-Tz1YV8la8khAGfZD63FkW14njvsFY26fMUkCav-cPA-l0c22qG06jbrKmijthWjutrwYV244WhX0pugei4l03Vrf3y-cVIyZvdblo6kRQgoxPmshpgcOXdE7_kYERd_O12Z9MujNvhoeC4mCR_B9g/CP6WLzG_CIESKzjt4nr8ZZBvKN36ah9f_-9xkQhwMBI),,https://alhena.molonc.ca/alhena/dashboards/SC-4349,Done,SC-4274 SC-4275,AT2 A118825A,,,,,,,,,,,,,,,,,,
HEK293-CX5461-50 nM-7d,HEK293,13,CX5461,,,Fresh,DMEM+FBS,50 nM,7,A118825B_hdbscan_cell_cn_tree_heatmap_new.png (https://v5.airtableusercontent.com/v1/17/17/1686182400000/MsBBF2U5gEu6lzyrds1r4w/mgtNmJ3gbl-KxbjMVYAP4d3RKE48X2nz_niBS21cyByphnIMKEjbJJMS2K663JrUyJeKzgrKsvMQfsBrmiF5J2OTw_nILjKP4PNh33STaOyxVSr5JCtowG1yduTpiQTeTDaDwOLkc8blLLXw-SIsHw/ID3QbYb18lmTGnejXelz1Rfe1ktk57g_bNiiusrKwtk),,"https://alhena.molonc.ca/alhena/dashboards/SC-4370
https://alhena.molonc.ca/alhena/dashboards/SC-7127",Done,SC-4272 SC-4273,AT4 A118825B,,,,,,,,,,,,,,,,,,
HEK293-etoposide-10-7 M-7d,HEK293,13,etoposide,,,Fresh,DMEM+FBS,10-7 M,7,A110617A_hdbscan_cell_cn_tree_heatmap_new.png (https://v5.airtableusercontent.com/v1/17/17/1686182400000/G7k6xAsFUglc0Z5HJRQlGQ/GjvsDhS1a2iHDRlNeqcl2W4lSEWjpJ6iWNHhSG4zUOoz3NAbMek0p83UA-M19zBibXrOlYfR8sZROhM0Vxl2T08svevJtc5_T2GD8vNIpQmxPDYWKIju49VDKw6lPjPyEZHUcethdi3xHsYfne3XLg/a2d_4Z2nWK72dT7w9jGitZEl12uPouDFMRDGGkB_Z54),,https://alhena.molonc.ca/alhena/dashboards/SC-4526,Done,SC-4270 SC-4271,AT5 A110617A,,,,,,,,,,,,,,,,,,
HEK293-Untreated--d,HEK293,13,Untreated,,,Fresh,DMEM+FBS,,,,,,NOT DONE,,,,,,,,,,,,,,,,,,,,
HEK293-DMSO--6d,HEK293,14,DMSO,,,Fresh,DMEM+FBS,,6,A118357A_hdbscan_cell_cn_tree_heatmap_new.png (https://v5.airtableusercontent.com/v1/17/17/1686182400000/mzZIK3NiajJ9Y4S1kigbsg/TGIIf1qCaDvlTthaRO0kUb7bOtdKFQ0SwhQS-Y0p92_m77trDxjqbXnK5B3PLCeBOhjyR9lPCdiWX_Szy0qp1261ye9dytSP4n0qoiHrfyzVSK4QpmPe4WcgpfrfDQzhWLoAtM49lEInLAEOfnz8rw/z6HckD6Qwt9D2dEASgtKHgbD6elfUfXl5IIHfJjk76s),,https://alhena.molonc.ca/alhena/dashboards/SC-4392,Done,SC-4318 SC-4319,AT7 A118357A,,,,,,,,,,,,,,,,,,
HEK293-voreloxin-150 nM-6d,HEK293,14,voreloxin,,,Fresh,DMEM+FBS,150 nM,6,A118346B_hdbscan_cell_cn_tree_heatmap_new.png (https://v5.airtableusercontent.com/v1/17/17/1686182400000/7adBu-lo3wx8LtdBjoGZ6w/vZGkiFi7_hKkHuMhC0UbEl_PiTgAqgDbvhvTUNASO2gUC9MS2plIshsHte-Ey6D6rNiOaC73MuFAPdqZbVu-T1w-It-uUv4H6nIlvgTQv0XZEWmKPZVI_mkzGZ1cMkkhpUw2n9HCuFDj7C8XoKak0w/yJpgWSrWFPRBv7rl60zmNJAsJtE4Z3DgKvvQsF5-nW4),,https://alhena.molonc.ca/alhena/dashboards/SC-4423 https://alhena.molonc.ca/alhena/dashboards/SC-7129,Done,SC-4320 SC-4321,AT8 A118346B,,,,,,,,,,,,,,,,,,
HEK293-BNS22-4x10-7 M-7d,HEK293,15,BNS22,,,Fresh,DMEM+FBS,4x10-7 M,7,,,,NOT DONE,,,,,,,,,,,,,,,,,,,,
HEK293-etoposide-50 nM-7d,HEK293,15,etoposide,,,Fresh,DMEM+FBS,50 nM,7,,,,NOT DONE,,,,,,,,,,,,,,,,,,,,
hTERT p53-/- BRCA2-/- 112.109-CX5461-6.02 nM-5+7d,hTERT p53-/- BRCA2-/- 112.109,23,CX5461,,,Fresh,MEBM defined media,6.02 nM,5+7,,AT18978,https://alhena.molonc.ca/alhena/dashboards/SC-8271,Done,SC-8046 SC-8047,AT18978,hTERT p53 KO BRCA2 KO 6.03nM CX5461 (112.109) (5 day drug + 7 day no drug),hTERT p53 KO BRCA2 KO 6.03nM CX5461 (112.109) (5 day drug + 7 day no drug),"A138884B, A138889B",,Nanopore/DLP CX5461 (4) hTERT p53 KO BRCA1/2 KO,"83.86=AT18977, 112.109=AT18978 ",Nanopore/DLP CX5461 (4) hTERT p53 KO BRCA1/2 KO,9/9/2022,9/14/2022,,"83.86=AT18981, 112.109=AT18982 ",,,,,,,
hTERT p53-/- BRCA1-/- 83.86-CX5461-2.2 nM-5+7d,hTERT p53-/- BRCA1-/- 83.86,19,CX5461,,,Fresh,MEBM defined media,2.2 nM,5+7,,AT18977 ,https://alhena.molonc.ca/alhena/dashboards/SC-8274,Done,SC-8044 SC-8045,AT18977 A138884A,hTERT p53 KO BRCA1 KO 2.2nM CX5461 (83.86) (5 day drug + 7 day no drug) ,hTERT p53 KO BRCA1 KO 2.2nM CX5461 (83.86) (5 day drug + 7 day no drug) ,"A138884A, A138889A",,Nanopore/DLP CX5461 (4) hTERT p53 KO BRCA1/2 KO,"83.86=AT18977, 112.109=AT18978 ",Nanopore/DLP CX5461 (4) hTERT p53 KO BRCA1/2 KO,9/9/2022,9/14/2022,,"83.86=AT18981, 112.109=AT18982 ",,,,,,,
hTERT p53-/- BRCA2-/- 112.109-CX5461-6.02 nM-5+10+5d,hTERT p53-/- BRCA2-/- 112.109,25,CX5461,,,Fresh,MEBM defined media,6.02 nM,5+10+5,,AT18986,https://alhena.molonc.ca/alhena/dashboards/SC-8347,Done,SC-8072 ,AT18986 A130820B,hTERT BRCA2 KO p53 KO (112.109) 6.02nM CX5461 (14 day drug + 7 day holiday + 6 day drug),hTERT BRCA2 KO p53 KO (112.109) 6.02nM CX5461 (14 day drug + 7 day holiday + 6 day drug),"A130820B, A130826B",,Nanopore/DLP CX5461 (4) hTERT p53 KO BRCA1/2 KO p+2,"83.86=AT18985, 112.109=AT18986 ",Nanopore/DLP CX5461 (4) hTERT p53 KO BRCA1/2 KO p+2,9/9/2022,10/6/2022,,"83.86=AT18989, 112.109=AT18990 ",,,,,,,
hTERT p53-/- BRCA1-/- 83.86-CX5461-2.2 nM-5+10+5d,hTERT p53-/- BRCA1-/- 83.86,21b,CX5461,,,Fresh,MEBM defined media,2.2 nM,5+10+5,,AT18985,https://alhena.molonc.ca/alhena/dashboards/SC-8333,Done,SC-8070 SC-8071,AT18985 A130820A,hTERT BRCA1 KO p53 KO (83.86) 2.2nM CX5461 (14 day drug + 7 day holiday + 6 day drug),hTERT BRCA1 KO p53 KO (83.86) 2.2nM CX5461 (14 day drug + 7 day holiday + 6 day drug),"A130820A, A130826A",,Nanopore/DLP CX5461 (4) hTERT p53 KO BRCA1/2 KO p+2,"83.86=AT18985, 112.109=AT18986 ",Nanopore/DLP CX5461 (4) hTERT p53 KO BRCA1/2 KO p+2,9/9/2022,10/6/2022,,"83.86=AT18989, 112.109=AT18990 ",,,,,,,
hTERT p53-/- BRCA2-/- 112.109-Untreated--d,hTERT p53-/- BRCA2-/- 112.109,23,Untreated,,,Fresh,MEBM defined media,,,,,,Done but no DLP,"no DLP
","AT18448
",,,,,Nanopore only untreated hTERT p53 KO BRCA2 KO (no BRCA1),ND,Nanopore only untreated hTERT p53 KO BRCA2 KO (no BRCA1),9/9/2022,9/9/2022,,"83.86=ND, 112-109=AT18448",,,,,,,
hTERT p53-/- BRCA1-/- 83.86-Untreated--d,hTERT p53-/- BRCA1-/- 83.86,19,Untreated,,,Fresh,MEBM defined media,,,,,,NOT DONE,"no DLP
",AT18449 (NOT DONE),,,,,Nanopore only untreated hTERT p53 KO BRCA2 KO (no BRCA1),ND,Nanopore only untreated hTERT p53 KO BRCA2 KO (no BRCA1),9/9/2022,9/9/2022,,"83.86=ND, 112-109=AT18448",,,,,,,
hTERT p53-/- BRCA2-/+ 116.66-Untreated--d,hTERT p53-/- BRCA2-/+ 116.66,8,Untreated,,,Fresh,MEBM defined media,,,,,https://alhena.molonc.ca/alhena/dashboards/SC-7015,Done,SC-4450 ,SA1188 A118425B,,,,,Nanopore hTERT 116.66 p8,SA1188 A118425B,Nanopore hTERT 116.66 p8,,,,AT7679 XP1422,,,,,,,
184-hTERT-L9 (WT) -PDS-7 µM-7d,184-hTERT-L9 (WT) ,52,PDS,,,Fresh,DMEM+FBS,7 µM,7,A131224A_hdbscan_cell_cn_tree_heatmap_new.png (https://v5.airtableusercontent.com/v1/17/17/1686182400000/8K7OgtfLfj2i1rHeYfDokQ/qCz1MbGS00K-WQR4LKV8oEGjnA_T3RNUHl0wcn8ehmCE_MCMEHvtaV8JpVK7_fhrXzMofh8KZvGUy6LVPFHLXHJ6d5jTcEloGKQvGR6BvX0SW-L77m7QkggHsGOQ6XWZROmv6D4SDy4k_jTfVt9BZQ/Jfa2q5D9UNu_mqPMjjF2z2eHe99DsY_2Bqa6LqehLEc),AT10249,https://alhena.molonc.ca/alhena/dashboards/SC-7797,Done,SC-7628 SC-7629,AT10249 A131224A,hTERT WT PDS ,hTERT WT PDS ,"A131224A, A131229A",,Nanopore/DLP PDS hTERT WT/p53 KO,AT10249/AT10250 ,Nanopore/DLP PDS hTERT WT/p53 KO,3/17/2022,3/24/2022,"https://www.bcgsc.ca/jira/browse/SC-7628, https://www.bcgsc.ca/jira/browse/SC-7630",AT16732 / AT16733 (too low),,AT16732,67.3,2.9,35549,Good,hTERT WT p53 - PDS 7 days
hTERT p53-/- 95.22-PDS-6.24 µM-7d,hTERT p53-/- 95.22,49,PDS,,,Fresh,DMEM+FBS,6.24 µM,7,A131224B_hdbscan_cell_cn_tree_heatmap_new.png (https://v5.airtableusercontent.com/v1/17/17/1686182400000/UQ0x-hrsrYZH2J_Ma4VsMQ/Rn4JMwnvpN-sY1XPV8MMklD7Rl0uIzeo_G5vSbstajCagXkLpP1UZSySdanYzcb3k5uqw6C4T0qsc1A29KmUQs4zjl_E1nZOVkVoOGWkFd0Z3_LRy7dvFELqczL820LQx4PSpjTC0J3g_-DwykCw0w/C_Zyc00BWpxvuPj-5F9EHJ5Q5GZU8e0ugyhMgNihQso),AT10250,https://alhena.molonc.ca/alhena/dashboards/SC-7796,Done,SC-7630 SC-7631,AT10250 A131224B,hTERT p53 KO PDS ,hTERT p53 KO PDS ,"A131224B, A131229B",,Nanopore/DLP PDS hTERT WT/p53 KO,AT10249/AT10250 ,Nanopore/DLP PDS hTERT WT/p53 KO,3/17/2022,3/24/2022,"https://www.bcgsc.ca/jira/browse/SC-7628, https://www.bcgsc.ca/jira/browse/SC-7630",AT16732 / AT16733 (too low),,AT16733,,,,,hTERT p53-/- 95.22 p49 PDS 7 days
184-hTERT-L9 (WT) -SB-124-4 µM-6d,184-hTERT-L9 (WT) ,53,SB-124,,,Fresh,DMEM+FBS,4 µM,6,A131143A_hdbscan_cell_cn_tree_heatmap_new.png (https://v5.airtableusercontent.com/v1/17/17/1686182400000/ME7wL0djt6xOhJgq7QFBXA/apJ7ZuXjrmz5u1imuu1cxH50a0EOWNZ3g_bf5t7rs0aOVq8tcnCX0fpE4cMBrgCJrLiARCsyQHMNAl5cdq3AA5kYRn2Sh8qfOSmso_4RgMpNto2dIxEj7yti7dcVWDEo0KTtRSIRnuw_RjOL77pesQ/sZIP3DP_ihQvV3YD9z-Yhxo-fsaViZGXhnGVgcc0rgc),AT11607,https://alhena.molonc.ca/alhena/dashboards/SC-8063,Done,SC-7649 SC-7650,AT11607 A131143A,hTERT WT SB-124,hTERT WT SB-124,"A131143A, A131205A",,Nanopore/DLP SB-124 hTERT WT/p53 KO,AT11607/AT11608 ,Nanopore/DLP SB-124 hTERT WT/p53 KO,3/30/2022,4/6/2022,"https://www.bcgsc.ca/jira/browse/SC-7649, ",AT16739 / AT16740,,AT16739,32.9,5.35,10200,Ok,hTERT WT p53 - SB-124 9 days
hTERT p53-/- 95.22-SB-124-3.2 µM-6d,hTERT p53-/- 95.22,55b,SB-124,,,Fresh,DMEM+FBS,3.2 µM,6,A131143B_hdbscan_cell_cn_tree_heatmap_new.png (https://v5.airtableusercontent.com/v1/17/17/1686182400000/apXWWMed5yNWELhLY9PELQ/wfM_CYo04NJ9OTL9E3jlpiU_ZwO_wHSC_GH0Kj9HHstH07iqNKFN0n76wZtFNRXfTwNtrqTwhoopT0NhCmkt4AT9gzsW8MUP9zuB2SN4-of4Ldj1OLnGHertv4mGu8bTdZV3HrqcLP_lDs8bb7Uuow/16E1GJfVwUcJaHAM8Byo9khbRyijhxdeJl7lMVwedLg),AT11608,https://alhena.molonc.ca/alhena/dashboards/SC-7921,Done,SC-7651 SC-7652,AT11608  A131143B,hTERT p53 KO SB-124,hTERT p53 KO SB-124,"A131143B, A131205B",,Nanopore/DLP SB-124 hTERT WT/p53 KO,AT11607/AT11608 ,Nanopore/DLP SB-124 hTERT WT/p53 KO,3/30/2022,4/6/2022,"https://www.bcgsc.ca/jira/browse/SC-7649, ",AT16739 / AT16740,,AT16740,26.6,2.17,20600,Ok,hTERT p53-/- 95.22 p55b - SB-124 9 days
hTERT p53-/- BRCA1-/- 83.86-SB-124-340 nM-9d,hTERT p53-/- BRCA1-/- 83.86,51,SB-124,,,Fresh,DMEM+FBS,340 nM,9,A131195A_hdbscan_cell_cn_tree_heatmap_new.png (https://v5.airtableusercontent.com/v1/17/17/1686182400000/UVaXTH2mTx7Y0fyJWrydDQ/JoR9605s9dVzT42lgUq6Bxzm9rcPtBsWoKS8OSzAmHoUo8CDFNk_rGChd_xf8-plSn_q_XI0-sFE1CW_RZeqoknwdVmoIBfvSkH6nL8M-YJaake3te3AVzF-V49-5Y260OYfEEUqMmJX-Ms-Gou_tQ/WCiDvYx38Etnl2qX3MmLUixFsaEJYwyZIlJ72AfJtq4),AT11609,https://alhena.molonc.ca/alhena/dashboards/SC-8122,Done,SC-7653 SC-7654,"AT11609, A131195A",hTERT p53 KO BRCA1 KO SB-124,hTERT p53 KO BRCA1 KO SB-124,"A131195A, A131212A",,Nanopore/DLP SB-124 hTERT p53 KO BRCA1/2 KO,AT11609/AT11610 ,Nanopore/DLP SB-124 hTERT p53 KO BRCA1/2 KO,3/30/2022,4/8/2022,"https://www.bcgsc.ca/jira/browse/SC-7655, https://www.bcgsc.ca/jira/browse/SC-7655",AT16741 / AT16742,,AT16741,,,,Failed at QC,hTERT p53-/- BRCA1-/- 83.86 p51 - SB-124 9 days
hTERT p53-/- BRCA2-/- 112.109-SB-124-335 nM-9d,hTERT p53-/- BRCA2-/- 112.109,50,SB-124,,,Fresh,DMEM+FBS,335 nM,9,A131195B_hdbscan_cell_cn_tree_heatmap_new.png (https://v5.airtableusercontent.com/v1/17/17/1686182400000/YtNIhkTnAUk2nhY1qrQ1UA/NaZ42I-7dy3cWhdn0exM9oR5UnvLJU8fRFjuk4Vah-z27DPg0La29XyT1s4jx4QC5XeOtxLu_vgZ3xUyB9F4YmOLHAdqlx49BZ5wz914--IyLETRQmL-MN_dumxa4RJC331Mva4eg4tySQWo8l1SSA/k76jxOhqf_j_o6lkZBPvVbLSLpXAEDkwjmKLj5MTc5s),AT11610,,Done,SC-7655 SC-7656,AT11610 A131195B,hTERT p53 KO BRCA2 KO SB-124,hTERT p53 KO BRCA2 KO SB-124,"A131195B, A131212B",,Nanopore/DLP SB-124 hTERT p53 KO BRCA1/2 KO,AT11609/AT11610 ,Nanopore/DLP SB-124 hTERT p53 KO BRCA1/2 KO,3/30/2022,4/8/2022,"https://www.bcgsc.ca/jira/browse/SC-7655, https://www.bcgsc.ca/jira/browse/SC-7655",AT16741 / AT16742,,AT16742,,,,Failed at QC,hTERT p53-/- BRCA2-/- 112.109 p50 - SB-124 9 days
hTERT p53-/- 95.22-BMH-21-703 nM-6d,hTERT p53-/- 95.22,38,BMH-21,,,Fresh,MEBM defined media,703 nM,6,,AT18455 ,https://alhena.molonc.ca/alhena/dashboards/SC-8245,Done,SC-8012 SC-8013,AT18455,hTERT 95.22 BMH-21,hTERT 95.22 BMH-21,"A138873B, A138888B",,Nanopore/DLP BMH-21  hTERT WT/p53 KO,AT18454 WT p47+ 990 nM BMH-21 AT18455 95.22 p38 + 703 nM BMH-21,Nanopore/DLP BMH-21  hTERT WT/p53 KO,8/31/2022,9/6/2022,,AT18450 WT p47+ 990nM BMH-21 AT18452 95.22 p38 + 703 nM BMH-21 ,,,,,,,
184-hTERT-L9 (WT) -BMH-21-990 nM-6d,184-hTERT-L9 (WT) ,47,BMH-21,,,Fresh,MEBM defined media,990 nM,6,,AT18454,https://alhena.molonc.ca/alhena/dashboards/SC-8244,Done,SC-8010 SC-8011,AT18454,hTERT Wt BMH-21,hTERT Wt BMH-21,"A138873A, A138888A",,Nanopore/DLP BMH-21  hTERT WT/p53 KO,AT18454 WT p47+ 990 nM BMH-21 AT18455 95.22 p38 + 703 nM BMH-21,Nanopore/DLP BMH-21  hTERT WT/p53 KO,8/31/2022,9/6/2022,,AT18450 WT p47+ 990nM BMH-21 AT18452 95.22 p38 + 703 nM BMH-21 ,,,,,,,
hTERT p53-/- 95.22-CX5461-703 nM-8d,hTERT p53-/- 95.22,38,CX5461,,,Fresh,MEBM defined media,703 nM,8,,AT18457,,In progress,,AT18457,hTERT p53 KO 703nM CX5461(3) (95.22),hTERT p53 KO 703nM CX5461(3) (95.22),"A138870B, A138871B",,Nanopore/DLP CX5461 (3) hTERT WT/p53 KO,AT18456 WT p47 + 990 nM CX5461 AT18457 95.22 p38 + 703 nM CX5461,Nanopore/DLP CX5461 (3) hTERT WT/p53 KO,8/31/2022,9/8/2022,https://molonc.atlassian.net/wiki/spaces/~453271370/pages/1197670404/PDX+Structural+variants,AT18451 WT p47+ 990nM CX5461 AT18453 95.22 p38 + 703 nM CX-5461,,,,,,,
184-hTERT-L9 (WT) -CX5461-990 nM-8d,184-hTERT-L9 (WT) ,47,CX5461,,,Fresh,MEBM defined media,990 nM,8,,AT18456,https://alhena.molonc.ca/alhena/dashboards/SC-8261,Done,SC-8017 SC-8018,AT18456 A138871A,hTERT WT 990nM CX5461(3),hTERT WT 990nM CX5461(3),"A138870A, A138871A",,Nanopore/DLP CX5461 (3) hTERT WT/p53 KO,AT18456 WT p47 + 990 nM CX5461 AT18457 95.22 p38 + 703 nM CX5461,Nanopore/DLP CX5461 (3) hTERT WT/p53 KO,8/31/2022,9/8/2022,https://molonc.atlassian.net/wiki/spaces/~453271370/pages/1197670404/PDX+Structural+variants,AT18451 WT p47+ 990nM CX5461 AT18453 95.22 p38 + 703 nM CX-5461,,,,,,,
hTERT p53-/- BRCA1-/- 83.86-PDS-1.25 µM-6d,hTERT p53-/- BRCA1-/- 83.86,49,PDS,,,Fresh,DMEM+FBS,1.25 µM,6,A131227A_hdbscan_cell_cn_tree_heatmap_new.png (https://v5.airtableusercontent.com/v1/17/17/1686182400000/SpvSEbs7If-uIT1kawZKGA/82H6dUCv_r4ellns7th9XVJD0Lz13R3yxGj399GE3rDccO2fPNi8SyZgk1nocWo58D0hwvMyuFAtZNZwEVnpd5WflYqBJZzsMRRuy_t4YUinDklUfbjnm0pmH3QNP1EKwEiuSd-ZKM1EElcSyW4Wzg/f07brAsHfq67Rm9A17pPwyf2PE6zZkTIotluzsxdMKY),AT14875,https://alhena.molonc.ca/alhena/dashboards/SC-7800,poor quality cells?,"SC-7619 	SC-7620",AT14875 A131227A,hTERT p53 KO BRCA1 KO PDS,hTERT p53 KO BRCA1 KO PDS,"A131227A, A131210A",,Nanopore/DLP PDS hTERT p53 KO BRCA1/2 KO,AT10251/AT10252,Nanopore/DLP PDS hTERT p53 KO BRCA1/2 KO,3/17/2022,3/22/2022,https://www.bcgsc.ca/jira/browse/SC-7618,ND / AT16734,,,,,,,
hTERT p53-/- BRCA2-/- 112.109-PDS-1.29 µM-6d,hTERT p53-/- BRCA2-/- 112.109,49,PDS,,,Fresh,DMEM+FBS,1.29 µM,6,A131227B_hdbscan_cell_cn_tree_heatmap_new.png (https://v5.airtableusercontent.com/v1/17/17/1686182400000/_AAVNddfyg__FK34XAN3QQ/PgOwmW1ONiroNNUkxV-rh50Aw8BzbXv0fjNozXck5UBbCfyi49PysR8AFEgxn8daYZzMJ46TRbSCBeXRTMqpML0kKpcE6Hlv2zM55b9AJeG4AASW4MiENtWI_-savQxZOZoUHHm-46CXGAmS-0iFlQ/5phjmiBQayHT011OCJ9s62Hc9eOfRJbtBhIvAwB9Chk),AT14876,https://alhena.molonc.ca/alhena/dashboards/SC-7799,poor quality cells?,SC-7617 SC-7618,AT14876 A131227B,hTERT p53 KO BRCA2 KO PDS,hTERT p53 KO BRCA2 KO PDS,"A131227B, A131210B",,Nanopore/DLP PDS hTERT p53 KO BRCA1/2 KO,AT10251/AT10252,Nanopore/DLP PDS hTERT p53 KO BRCA1/2 KO,3/17/2022,3/22/2022,https://www.bcgsc.ca/jira/browse/SC-7618,ND / AT16734,,AT16734,96.8,4.46,32036,Good,hTERT p53-/- BRCA2-/- 112.109 p49 PDS 7 days
hTERT p53-/- 95.22-Untreated--d,hTERT p53-/- 95.22,39,Untreated,,,Fresh,MEBM defined media,,,,,,Done but no DLP,"no DLP
",AT18447,,,,,Nanopore only untreated hTERT WT/p53 KO,ND,Nanopore only untreated hTERT WT/p53 KO,9/9/2022,9/9/2022,,"WT=AT18446, p53KO= AT18447 ",,,,,,,
184-hTERT-L9 (WT) -Untreated--d,184-hTERT-L9 (WT) ,48,Untreated,,,Fresh,MEBM defined media,,,,,,Done but no DLP,"no DLP
",AT18446,,,,,Nanopore only untreated hTERT WT/p53 KO,ND,Nanopore only untreated hTERT WT/p53 KO,9/9/2022,9/9/2022,,"WT=AT18446, p53KO= AT18447 ",,,,,,,
