Name,Cell Line,passage,Drug Treatment,Parent,Holiday,Fixation,Media,Conc of Drug,Treatment (days),Clonal map,AT ID (from Attachments),Results,Status,JIRA,DLP Seq Lib,Link to SV,Sample Name (from Attachments),Library ID(s) (from Attachments),JIRA (from Attachments),Sync with calendar,ATLAS ID (from Sync with calendar),Task (from Sync with calendar),Date (from Sync with calendar),End (from Sync with calendar),Link to ticket (from Sync with calendar),EXP ID (Nanopore)(from Sync with calendar),AT-Barcode (from Sync with calendar),Matched Nanopore samples,#bases (Gb) (from Matched Nanopore samples),# reads (millions) (nanostat) (from Matched Nanopore samples),N50 (nanostat) (from Matched Nanopore samples),Quality (from Matched Nanopore samples),LIBRARY (from Matched Nanopore samples)
hTERT p53-/- BRCA2-/- 112.109-CX5461-6.02 nM-8d,hTERT p53-/- BRCA2-/- 112.109,53,CX5461,,,Fixed,DMEM+FBS,6.02 nM,8,A118846B_hdbscan_cell_cn_tree_heatmap_new.png (https://v5.airtableusercontent.com/v1/17/17/1686182400000/CRbm4WxI7KeFd5g2iekaSA/yYFVI3PzvrwX4d_gx1FSEDkCTuAszbgIWm42t2ZT4NHi-B_Y7bN07aL2sbIouCBZyVgwZb-M-mDk7wr7SYi0ml68HJ8qYxmdeiYBOZzbllYhiSMMEIsEsretLGXLcLVRr7jCQjk2TZNecQWWtDfv4g/KPb-OUXQZ8RpEDN4WI9paskVADDn4q147tG9889QX3A),AT16177,https://alhena.molonc.ca/alhena/dashboards/SC-7840,poor quality cells?,SC-7721 SC-7722,AT16177 A118846B,hTERT p53 KO  BRCA2 KO Fixed CX5461,hTERT p53 KO  BRCA2 KO Fixed CX5461,"A118846B, A118886B",,,,,,,,,,,,,,,
hTERT p53-/- BRCA2-/- 112.109-SB-124-335 nM-8d,hTERT p53-/- BRCA2-/- 112.109,53,SB-124,,,Fixed,DMEM+FBS,335 nM,8,A98218B_hdbscan_cell_cn_tree_heatmap_new.png (https://v5.airtableusercontent.com/v1/17/17/1686182400000/ajJfn3CSS3J29fDxti__ug/6vzjRFjf90jsaUXdBc7VAaIpUaUm4Kg3HVZKotUlLoWPx0RoTSvNQap0U87hPXpd9qwOjCQYnDaFooU78SVYeAcHDeeI_aJ5UPlUmainX8hKEpULJ8ya77CP4Miz8gLIpKbaPwAvrS2jMSW9YbtDqw/z90OR62poctikqRiWXuiOBrs0S_GNUqYbIJIontLnGE),AT16181,https://alhena.molonc.ca/alhena/dashboards/SC-7877,poor quality cells?,SC-7756 SC-7757,AT16181 A98218B,hTERT p53 KO BRCA2 KO Fixed SB-124,hTERT p53 KO BRCA2 KO Fixed SB-124,"A98218B, A98219B",,,,,,,,,,,,,,,
hTERT p53-/- BRCA2-/- 112.109-Untreated--d,hTERT p53-/- BRCA2-/- 112.109,54,Untreated,,,Fresh,DMEM+FBS,,,A118871B_hdbscan_cell_cn_tree_heatmap_new.png (https://v5.airtableusercontent.com/v1/17/17/1686182400000/_AirW-B_cvUHKc2tg0nQiQ/xeSi7QglzVu8i6dsNE4QiMbFcg4nJrKqyOJ2pplMUQMo4Y9www7eNfIy6uaLYhWtHVfYlGlusH3oNyYWw8rxJicHV21UHz7FArcl9dpfNsh_2CnEcUgqIJVKwYQm2yEzbhnMkic2q4eBt2_3JgiUBw/fOhZO68eEZwVJTy1eC_nH9Kpu---yXQMiimvsUEKNXg),AT17083 ,https://alhena.molonc.ca/alhena/dashboards/SC-7816,Done,SC-7681 SC-7682,AT17083 A118871B ,hTERT p53 KO BRCA2 KO Untreated,hTERT p53 KO BRCA2 KO Untreated,"A118871B, A118874B",,,,,,,,,,,,,,,
hTERT p53-/- BRCA2-/- 112.109-cisplatin-0.306 nM-7d,hTERT p53-/- BRCA2-/- 112.109,56,cisplatin,,,Fresh,DMEM+FBS,0.306 nM,7,A98187B_hdbscan_cell_cn_tree_heatmap_new.png (https://v5.airtableusercontent.com/v1/17/17/1686182400000/VYBzWsHeLtrYO_ihjsJRMQ/KDYp1JsgT9A67K3AmK9J6NJiLZVDn9Tpgq8_OL06Pg-MmdxmGyAh6bAqFTVtvqgvDpeiaxVbCodLq1d0A3OpQieNqym1pCaHkglyUoZL2yh00NKsAeCofz3sjTQnpzPQyAPj440iw4PZM7TAi9_rPA/kNXcryaZ3-NQoebocpKOAM9vBjKlqcbH_5Dta_P6LlE),AT13848 ,https://alhena.molonc.ca/alhena/dashboards/SC-7917,Done,SC-7791 SC-7792 ,AT13848 A98187B,hTERT p53 KO BRCA2 KO p56 Cisplatin,hTERT p53 KO BRCA2 KO p56 Cisplatin,"A98187B, A98307B",,,,,,,,,,,,,,,
hTERT p53-/- BRCA1-/- 83.86-CX5461-2.2 nM-+5-14+5-14+5d,hTERT p53-/- BRCA1-/- 83.86,18,CX5461,,,Fresh,MEBM defined media,2.2 nM,-13,,AT18353,https://alhena.molonc.ca/alhena/dashboards/SC-8355,Done,SC-8097 SC-8098,AT18353  A130833A,hTERT p53 KO BRCA1 KO (83.86) CX5461 5/14/5/14/5,hTERT p53 KO BRCA1 KO (83.86) CX5461 5/14/5/14/5,"A130833A, A130838A",,,,,,,,,,,,,,,
hTERT p53-/- BRCA1-/- 83.86-CX5461-2.2 nM-5+19+5d,hTERT p53-/- BRCA1-/- 83.86,26,CX5461,,,Fresh,MEBM defined media,2.2 nM,5+19+5,,,,Done but no DLP,,,,,,,Nanopore/DLP 5/19/5 CX5461 hTERT p53 KO BRCA1/2 KO,AT18353 (83.86) / AT18354 (112.109) ,Nanopore/DLP 5/19/5 CX5461 hTERT p53 KO BRCA1/2 KO,9/9/2022,10/20/2022,,,,,,,,,
hTERT p53-/- BRCA1-/- 83.86-CX5461-2.2 nM-6d,hTERT p53-/- BRCA1-/- 83.86,33,CX5461,,,Fresh,MEBM defined media,2.2 nM,6,A118367B_hdbscan_cell_cn_tree_heatmap_new.png (https://v5.airtableusercontent.com/v1/17/17/1686182400000/Exu20lf3n_IP627_5CemKQ/oJ5Ce7APlngSRatNFj00Bf021mBdOMwvsji7IuNH5Mwb4JI3TI9ST12dx4DJQ986aogyzw0DS4Vy6KFU1jYP8cMFnmpa7WCbHFU0C7d8XUrFAT_fUP5BmI4dh-dPZ1Enz1Nj-JWAT_-MTdhLKt81qA/g-9M2c34kHsWG6OBI_jT1sGiGjFJeEsEKdn6gQ715xA),,https://alhena.molonc.ca/alhena/dashboards/SC-7322,Done,SC-7257  SC-7256,AT9251 A118367B,,,,,,,,,,,,,,,,,,
hTERT p53-/- BRCA1-/- 83.86-cisplatin-0.306 nM-8d,hTERT p53-/- BRCA1-/- 83.86,35,cisplatin,,,Fresh,MEBM defined media,0.306 nM,8,A118423A_hdbscan_cell_cn_tree_heatmap_new.png (https://v5.airtableusercontent.com/v1/17/17/1686182400000/qaMUvJkq658-8BglaS2wew/mTdZ2fyaI0riaXHzP6UMXbGjIZs6V1tRubpLAu38DcXWbmhD08kep1LegeLanBUxYp0zlvHJAkKjQTgAH1XkCTbPxRZW0EFBI1yuSrmn2wAKP2GhRz6RxNIp1ds3_Ol8Coh9yQj9DP0jUVdbyJTbhA/PFhg6PZla4j7TKTh2ZPiU75uLcrT_h2vAHvfRXFJcZ4),AT9255,https://alhena.molonc.ca/alhena/dashboards/SC-7815,Done, SC-7294 SC-7295,AT9255 A118423A (reseq),hTert p53-/- BRCA1-/- 83.86 p35 0.305 nM cisplatin,hTert p53-/- BRCA1-/- 83.86 p35 0.305 nM cisplatin,A118423A,,,,,,,,,,,,,,,
hTERT p53-/- BRCA1-/- 83.86-Untreated--d,hTERT p53-/- BRCA1-/- 83.86,37,Untreated,,,Fresh,MEBM defined media,,,A118413A_hdbscan_cell_cn_tree_heatmap (1).png (https://v5.airtableusercontent.com/v1/17/17/1686182400000/Y0so8qrlldJCOD-z6KpFuw/q-ojOe3o3gsaEwVwWX_2XBKD0_HqAPAP9SQdnC0vASHeqhpsRf9qFmjF5lFHylPgDdivS9erJfSQOL_b60bNlN4V1t5rgwjXqVNnxMu1sO2IFYsKdCDDcGD808GGdro9xwn7Q1dwR-WZwtgolXBQbA/VNSyLvO3lZlb-qY4YlqeWqeRNjLdz4alTCQFjbuRe3E),A10099,https://alhena.molonc.ca/alhena/dashboards/SC-7971 (condition A),Done,SC-7344 SC-7343,AT10099 A118413A,hTERT 83.86,hTERT 83.86,"A118413A, A118344A",,,,,,,,,,,,,,,
hTERT p53-/- BRCA1-/- 83.86-Untreated--d,hTERT p53-/- BRCA1-/- 83.86,47,Untreated,,,Fresh,MEBM defined media,,,A95632A_hdbscan_cell_cn_tree_heatmap_new.png (https://v5.airtableusercontent.com/v1/17/17/1686182400000/6BUjAmtmCRFDI6RuXEgLyA/JQoC-dMZY644i69YAeWpBI69xwE7GFXrOKK8ggJUnkODtTjrpZRLvxRB_IWKhSTdn4c1hjigIAmVQRSY1AG8H25ZvxNYfdQnbi7LSyBS8d3rpRZeFHv0vkSKoXSANcozFSmTjrAM-VnzFz3UVWRQpQ/qYr1IIYmNCEqTplsFlAE8T4WOhAq94ynWph-po-3wqY),,https://alhena.molonc.ca/alhena/dashboards?=DLP?analysis=SC-2963,Previously Published,SC-613,SA1054 A95632A,,,,,,,,,,,,,,,,,,
